Image	K10_F23	K10_F12
2	0,89	1,1
2	1,47	1,49
2	2,06	2,1
2	0,562	0,75
2	0,75	1,3
2	1,58	1,65
3	1,05	1,18
3	0,794	1,28
3	1,55	1,67
3	2,48	1,81
3	2,18	2,33
4	2,14	2,31
4	0,787	1,37
4	0,93	1,2
4	1,07	1,17
4	0,775	0,94
5	0,855	0,506
5	0,88	0,765
5	1,66	1,45
5	1,57	1,67
6	1,28	1
6	1,1	1,48
6	1,31	1,27
6	1,21	1,12
7	1,78	1,47
7	1,45	1,76
7	1,6	1,29
7	1,03	1,35
8	2,36	2,43
8	1,08	1,29
8	0,904	1,08
8	1,29	0,802
8	1,07	0,765
9	0,61	0,924
9	0,69	0,855
9	1,27	1,05
9	1,22	0,568
9	0,942	1,05
9	0,41	0,654
10	0,395	0,566
10	0,191	0,751
10	0,732	1,08
11	0,966	0,856
11	0,559	0,929
11	1,92	2,03
12	1,91	1,15
12	2,18	1,87
12	1,48	0,957
12	1,89	2,57
4 1	0,959	0,841
4 1	1,31	1,16
4 1	1,35	0,83
4 1	1,32	1,6
4 1	0,656	0,721
4 2	1,46	2,01
4 3	1,13	1,33
4 3	0,463	0,494
4 3	1,28	1,23
4 4	0,733	0,981
4 4	2,07	2,48
4 4	0,988	1,31
4 4	1,5	1,73
4 5	1,35	1,93
4 5	2,03	1,9
4 6	1,67	1,76
4 6	0,217	0,637
4 6	1,14	0,987
4 6	0,878	1,44
4 6	0,33	0,604
4 6	0,858	1,4
4 6	2,44	2,48
4 6	1,04	1,62
4 6	1,31	1,67
4 6	0,666	0,658
4 6	1,06	1,4
4 7	1,73	1,75
4 7	0,853	1,31
4 7	0,595	0,577
4 7	1,49	1,61
4 7	1,4	1,77
4 8	1	1,08
4 8	0,787	1,16
4 8	0,443	0,586
4 8	1,26	1,01
4 8	1,09	1,17
4 9	1,82	0,705
4 9	1,66	1,44
4 9	0,936	0,918
4 9	0,643	1,17
4 10	0,976	0,932
4 10	0,6	1,05
4 10	1,93	1,45
4 10	0,786	1,14
2	1,27	0,54
2	1,18	1,57
2	2,73	2,57
2	0,54	1,27
2	1,97	1,88
2	1,1	0,987
5 1	1,18	1,27
5 1	0,404	0,289
5 1	0,747	1,33
5 1	0,59	0,6
5 1	0,421	0,498
5 1	0,617	0,716
5 1	1,28	2,13
5 1	1,67	2,2
5 1	1,84	1,83
